58	16	1	16	58	16	2	0	58	16	3	0	58	16	4	0
58	16	5	0	58	16	6	0	58	16	7	0	82	10	1	10
82	10	2	0	82	10	3	0	82	10	4	0	82	10	5	0
82	10	6	0	82	10	7	0	107	30	1	23	107	30	2	7
107	30	3	0	107	30	4	0	107	30	5	0	107	30	6	0
107	30	7	0	155	47	1	3	155	47	2	44	155	47	3	0
155	47	4	0	155	47	5	0	155	47	6	0	155	47	7	0
237	64	1	0	237	64	2	6	237	64	3	45	237	64	4	13
237	64	5	0	237	64	6	0	237	64	7	0	307	74	1	0
307	74	2	2	307	74	3	9	307	74	4	48	307	74	5	15
307	74	6	0	307	74	7	0	342	72	1	0	342	72	2	0
342	72	3	1	342	72	4	34	342	72	5	37	342	72	6	0
342	72	7	0	388	103	1	0	388	103	2	0	388	103	3	1
388	103	4	10	388	103	5	87	388	103	6	5	388	103	7	0
442	81	1	0	442	81	2	0	442	81	3	0	442	81	4	7
442	81	5	53	442	81	6	21	442	81	7	0	518	76	1	0
518	76	2	0	518	76	3	0	518	76	4	0	518	76	5	10
518	76	6	65	518	76	7	1	609	40	1	0	609	40	2	0
609	40	3	0	609	40	4	0	609	40	5	0	609	40	6	14
609	40	7	26	685	42	1	0	685	42	2	0	685	42	3	0
685	42	4	0	685	42	5	0	685	42	6	0	685	42	7	42
